donor,amount,date
Daenerys,102,3/22/2017
Missandei,25,3/23/2017
Missandei,30,3/24/2017
Daenerys,71,3/25/2017
Tyrion,60,3/26/2017
Sansa,33,3/27/2017
Jon,25,3/28/2017
Missandei,10,3/29/2017
Arya,15,3/30/2017
Tormund,50,3/31/2017
Bran,25,4/1/2017
Arya,30,4/2/2017
Brienne,75,4/3/2017
Margaery,120,4/4/2017
Samwell,20,4/5/2017
Melisandre,45,4/6/2017
Petyr,70,4/7/2017
Theon,5,4/8/2017
Bronn,20,4/9/2017
Daario,10,4/10/2017
Gilly,7,4/11/2017
Ygritte,30,4/12/2017
Tyrion,50,4/13/2017
Arya,15,4/14/2017
Tyrion,10,4/15/2017
Missandei,25,4/16/2017
Theon,15,4/17/2017
